Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip_0	1.692537	0.014361	0.000067	0.208811
specbzip_1	1.660100	0.010773	0.000067	0.283478
specbzip_2	1.649604	0.011742	0.000077	0.363010
specbzip_3	1.624885	0.011739	0.000077	0.324116
specbzip_4	1.617195	0.010945	0.000077	0.350311
specbzip_5	1.592772	0.009347	0.000063	0.160562
specmcf_0	1.160209	0.002108	0.000018	0.767534
specmcf_1	1.127683	0.001180	0.000020	0.700047
specmcf_2	1.155606	0.002108	0.000018	0.711878
specmcf_3	1.155199	0.002108	0.000018	0.706414
specmcf_4	1.155043	0.002108	0.000018	0.706527
specmcf_5	1.108120	0.000806	0.000027	0.426138
spechmmer_0	1.191346	0.002359	0.000221	0.054065
spechmmer_1	1.187917	0.001637	0.000221	0.077760
spechmmer_2	1.186170	0.000701	0.000212	0.179990
spechmmer_3	1.185883	0.000669	0.000210	0.191371
spechmmer_4	1.180142	0.000301	0.000341	0.183453
spechmmer_5	1.178082	0.000176	0.000466	0.122922
specsjeng_0	10.270554	0.121831	0.000020	0.999972
specsjeng_1	10.270140	0.121831	0.000020	0.999976
specsjeng_2	6.795158	0.060918	0.000013	0.999973
specsjeng_3	5.171570	0.030461	0.000009	0.999964
specsjeng_4	5.171666	0.030467	0.000009	0.999559
speclibm_0	3.493415	0.060972	0.000094	0.999944
speclibm_1	3.493415	0.060972	0.000094	0.999944
speclibm_2	3.489639	0.060972	0.000094	0.999944
speclibm_3	2.576600	0.030487	0.000112	0.999800
speclibm_4	1.989308	0.015244	0.000134	0.999482
